eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.001,0.1,300,64,[10],"['relu', 'linear']",adam,0.008124916513505576,0.007179739314662374
0.001,0.1,300,64,[10],"['relu', 'linear']",adagrad,7.185966017845382,7.072801780847372
0.001,0.1,300,64,[10],"['relu', 'linear']",RMSprop,0.0011191413676609153,0.0009766591170096886
0.001,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0018645085016009177,0.0015199301857506454
0.001,0.1,300,64,[30],"['relu', 'linear']",SGD,0.0010821552578520561,0.0008936589887276856
0.001,0.1,300,64,[30],"['relu', 'linear']",adam,0.004072089525573611,0.0037037209475875533
0.001,0.1,300,64,[30],"['relu', 'linear']",adagrad,0.029613621646567848,0.028172915860031643
0.001,0.1,300,64,[30],"['relu', 'linear']",RMSprop,0.001154543276962011,0.0009007186867083835
0.001,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0005245794755644277,0.0004893036402908183
0.001,0.1,300,64,[50],"['relu', 'linear']",SGD,0.0004167892223878817,0.00031954222980731394
0.001,0.1,300,64,[50],"['relu', 'linear']",adam,0.0004834464399335273,0.00037958621407965744
0.001,0.1,300,64,[50],"['relu', 'linear']",adagrad,39.48786769119659,39.95130098199159
0.001,0.1,300,64,[50],"['relu', 'linear']",RMSprop,0.008680566215967156,0.008211088860392372
0.001,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.0010243132268257472,0.0010923732046559506
0.001,0.001,300,64,[10],"['relu', 'linear']",SGD,0.0027360408928592483,0.0023788102765320523
0.001,0.001,300,64,[10],"['relu', 'linear']",adam,0.013031963754186842,0.012006445538915621
0.001,0.001,300,64,[10],"['relu', 'linear']",adagrad,9.519473613872556,9.797963244962437
0.001,0.001,300,64,[10],"['relu', 'linear']",RMSprop,0.0006700571097301216,0.0006443821285576828
0.001,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0011236916281140103,0.0011201566472339836
0.001,0.001,300,64,[30],"['relu', 'linear']",SGD,0.00021576101268278665,0.00023732074030966734
0.001,0.001,300,64,[30],"['relu', 'linear']",adam,0.00018036702746641346,0.00017682006190833784
0.001,0.001,300,64,[30],"['relu', 'linear']",adagrad,0.5472893821425996,0.5533609599199518
0.001,0.001,300,64,[30],"['relu', 'linear']",RMSprop,0.0012141774761354244,0.0010036886063072977
0.001,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0012799253260756377,0.001239908165055805
0.001,0.001,300,64,[50],"['relu', 'linear']",SGD,0.00015796594537602574,0.00017864010299814214
0.001,0.001,300,64,[50],"['relu', 'linear']",adam,0.0005489764477691451,0.0005919248895877655
0.001,0.001,300,64,[50],"['relu', 'linear']",adagrad,46.42642843307274,47.788773388210785
0.001,0.001,300,64,[50],"['relu', 'linear']",RMSprop,0.0002518886936742084,0.0002279630447110753
0.001,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.0002676751759043418,0.00022301283769826413
0.001,1e-05,300,64,[10],"['relu', 'linear']",SGD,0.0013544844875496118,0.0011604777317508292
0.001,1e-05,300,64,[10],"['relu', 'linear']",adam,0.024952729500317863,0.022498936371966604
0.001,1e-05,300,64,[10],"['relu', 'linear']",adagrad,0.5148617695550468,0.5094470552294912
0.001,1e-05,300,64,[10],"['relu', 'linear']",RMSprop,0.0003200793367079385,0.00029969745530217663
0.001,1e-05,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0003314259571677545,0.00031074009228075075
0.001,1e-05,300,64,[30],"['relu', 'linear']",SGD,0.0004168157792573114,0.00047806226997615733
0.001,1e-05,300,64,[30],"['relu', 'linear']",adam,0.0022702658634441344,0.0017859349573236122
0.001,1e-05,300,64,[30],"['relu', 'linear']",adagrad,21.103733764459566,21.343911349996834
0.001,1e-05,300,64,[30],"['relu', 'linear']",RMSprop,0.0005286748347607232,0.000510853440847097
0.001,1e-05,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0006639522692886979,0.0005764589141361384
