eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.001,1e-05,300,32,[10],"['relu', 'linear']",adam,0.01423432660031117,0.014207256057123386
0.001,1e-05,300,32,[10],"['relu', 'linear']",adagrad,2.0075469081202977,2.457812428793609
0.001,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,0.01689535596949429,0.014586329686623397
0.001,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0041066912875510255,0.0091475141028565
0.001,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.013849489623319371,0.016744703790987525
0.001,1e-05,300,32,[30],"['relu', 'linear']",adam,0.01996149527955613,0.027882627499541335
0.001,1e-05,300,32,[30],"['relu', 'linear']",adagrad,1.4119466461641532,1.1397826939431073
0.001,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,0.0032015010054760413,0.006881930500484032
0.001,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0038597799189475936,0.008065364136086498
0.001,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.004016189080381054,0.011021532890011385
0.001,1e-05,300,32,[50],"['relu', 'linear']",adam,0.004864680439852822,0.013821332486994737
0.001,1e-05,300,32,[50],"['relu', 'linear']",adagrad,2.7056432868761546,3.4435244222715786
0.001,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,0.002270635106052058,0.004265906758513039
1e-05,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.28875842148550096,0.2819280749341847
1e-05,0.1,300,32,[10],"['relu', 'linear']",SGD,0.5524566669146732,0.8742901133753771
1e-05,0.1,300,32,[10],"['relu', 'linear']",adam,0.30511465679909694,0.31173090705555606
1e-05,0.1,300,32,[10],"['relu', 'linear']",adagrad,3.149892652652374,3.140757866545763
1e-05,0.1,300,32,[10],"['relu', 'linear']",RMSprop,4.324271453947701,4.604988654882907
1e-05,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.3141279454982729,0.5650334346730401
1e-05,0.1,300,32,[30],"['relu', 'linear']",SGD,0.15892537440947482,0.15177501693169906
1e-05,0.1,300,32,[30],"['relu', 'linear']",adam,64.09579235768136,65.52648373561527
1e-05,0.1,300,32,[30],"['relu', 'linear']",adagrad,34.94286973478755,35.83373393182369
1e-05,0.1,300,32,[30],"['relu', 'linear']",RMSprop,8.773812368539506,9.521700907484458
1e-05,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.22186194572492562,0.2930975275622473
1e-05,0.1,300,32,[50],"['relu', 'linear']",SGD,0.15318784812670452,0.20772402381488436
1e-05,0.1,300,32,[50],"['relu', 'linear']",adam,154.10113679473133,187.23713236180365
