eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.9020100502512562,0.8596491228070176
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.5753768844221105,0.5087719298245614
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.8793969849246231,0.8011695906432749
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.39949748743718594,0.4152046783625731
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.7437185929648241,0.7309941520467836
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.6331658291457286,0.631578947368421
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.631578947368421
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.8768844221105527,0.847953216374269
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.4396984924623116,0.43859649122807015
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.907035175879397,0.8538011695906432
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.864321608040201,0.7894736842105263
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.8944723618090452,0.847953216374269
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.38011695906432746
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.907035175879397,0.8596491228070176
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.38011695906432746
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.36432160804020103,0.36257309941520466
0.0001,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3768844221105528,0.38596491228070173
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.5125628140703518,0.4853801169590643
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3944723618090452,0.38596491228070173
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.8768844221105527,0.783625730994152
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.6432160804020101,0.6432748538011696
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.9321608040201005,0.8888888888888888
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.9371859296482412,0.9064327485380117
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.39949748743718594,0.391812865497076
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6306532663316583,0.6257309941520468
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.6306532663316583,0.6257309941520468
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3768844221105528,0.38011695906432746
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6306532663316583,0.6257309941520468
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6256281407035176,0.6198830409356725
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3844221105527638,0.38596491228070173
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.6306532663316583,0.6257309941520468
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.8065326633165829,0.7192982456140351
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
