eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9333333333333333
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6222222222222222
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9777777777777777
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9904761904761905,0.9555555555555556
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3142857142857143,0.3333333333333333
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9555555555555556
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.6666666666666666,0.6666666666666666
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.9619047619047619,0.9777777777777777
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.22857142857142856,0.26666666666666666
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.6666666666666666,0.6666666666666666
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.9714285714285714,0.9555555555555556
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.8476190476190476,0.9111111111111111
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3142857142857143,0.3111111111111111
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.638095238095238,0.6444444444444445
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
